,X,RefNum,agerange,age,job,marital,education,balance,housing,loan,month,date,duration,deposit,lead,product,qualified,contacted,won,loanvalue,NPS,contacted_and_won,qualified_and_contacted,lead_and_qualified
390,390,10023856,41-60,58,blue-collar,divorced,unknown,29,yes,no,june,6/1/2018,253,36.29,1,business,1,1,1,6895,10,1,1,1
391,391,10023857,41-60,60,retired,divorced,secondary,545,yes,no,july,7/1/2018,1030,388.683437366575,0,no product,0,0,0,7632,7,0,0,1
392,392,10023858,31-40,37,technician,married,tertiary,8730,yes,yes,august,8/1/2018,149,388.683437366575,0,no product,0,0,0,9753,7,0,0,1
393,393,10023859,41-60,46,technician,divorced,tertiary,477,yes,yes,september,9/1/2018,114,12.61,0,no product,0,0,0,2257,7,0,0,1
394,394,10023860,18-30,27,admin.,married,secondary,4,yes,no,october,10/1/2018,243,20.04,0,no product,0,0,0,12353,7,0,0,1
395,395,10023861,41-60,43,blue-collar,married,secondary,1205,yes,yes,november,11/1/2018,769,52.68,0,no product,0,0,0,6895,7,0,0,1
396,396,10023862,31-40,32,technician,single,secondary,0,yes,no,december,12/1/2018,135,52.94,0,no product,0,0,0,7632,7,0,0,1
397,397,10023863,31-40,40,admin.,single,secondary,263,yes,no,january,1/1/2018,231,4.68,0,no product,0,0,0,9753,7,0,0,1
398,398,10023864,31-40,38,admin.,married,secondary,1,no,no,february,2/1/2018,76,4.86,0,no product,0,0,0,2257,7,0,0,1
399,399,10023865,31-40,34,blue-collar,married,secondary,283,no,no,march,3/1/2018,199,69.7,0,no product,0,0,0,12353,7,0,0,1
400,400,10023866,41-60,47,blue-collar,married,primary,206,yes,yes,april,4/1/2018,152,17.08,0,no product,0,0,0,2356,7,0,0,1
401,401,10023867,41-60,42,housemaid,married,primary,17,yes,yes,may,5/1/2018,124,14.13,0,no product,0,0,0,7654,7,0,0,1
402,402,10023868,41-60,48,technician,married,secondary,141,yes,yes,june,6/1/2018,424,13.71,0,no product,0,0,0,7854,7,0,0,1
403,403,10023869,18-30,29,self-employed,single,tertiary,16,yes,no,july,7/1/2018,43,16.57,0,no product,0,0,0,6895,7,0,0,1
404,404,10023870,41-60,50,services,married,secondary,206,yes,yes,august,8/1/2018,154,10.96,0,no product,0,0,0,7632,7,0,0,1
405,405,10023871,41-60,52,technician,married,unknown,7,no,yes,september,9/1/2018,203,52.94,0,no product,0,0,0,9753,7,0,0,1
406,406,10023872,41-60,50,management,married,tertiary,0,no,yes,october,10/1/2018,326,59.545,0,no product,0,0,0,2257,7,0,0,1
407,407,10023873,41-60,58,retired,married,tertiary,0,no,yes,november,11/1/2018,393,57.32,0,no product,0,0,0,12353,7,0,0,1
408,408,10023874,41-60,46,blue-collar,divorced,primary,1927,yes,no,december,12/1/2018,241,213.55,0,no product,0,0,0,2356,7,0,0,1
409,409,10023875,31-40,38,technician,married,secondary,284,yes,no,january,1/1/2018,483,198.21,0,no product,0,0,0,7654,7,0,0,1
410,410,10023876,41-60,46,blue-collar,married,secondary,1660,yes,yes,february,2/1/2018,259,236.99,0,no product,0,0,0,7854,7,0,0,1
411,411,10023877,31-40,32,services,single,secondary,406,yes,no,march,3/1/2018,227,88.21,0,no product,0,0,0,8954,7,0,0,1
412,412,10023878,41-60,51,blue-collar,married,primary,230,yes,yes,april,4/1/2018,673,52.68,0,no product,0,0,0,3678,7,0,0,1
413,413,10023879,31-40,39,admin.,single,secondary,-25,yes,no,may,5/1/2018,576,49.14,0,no product,0,0,0,4853,7,0,0,1
414,414,10023880,41-60,48,admin.,married,secondary,182,yes,yes,june,6/1/2018,180,133.15,0,no product,0,0,0,8675,7,0,0,1
415,415,10023881,31-40,36,entrepreneur,married,tertiary,1169,yes,yes,july,7/1/2018,168,80.79,0,no product,0,0,0,9764,7,0,0,1
416,416,10023882,31-40,34,admin.,divorced,secondary,67,yes,no,august,8/1/2018,90,20.73,0,no product,0,0,0,2457,7,0,0,1
417,417,10023883,31-40,40,technician,married,secondary,77,no,no,september,9/1/2018,505,52.94,0,no product,0,0,0,3678,7,0,0,1
418,418,10023884,41-60,43,unemployed,married,secondary,0,yes,yes,october,10/1/2018,245,25.25,0,no product,0,0,0,9765,7,0,0,1
419,419,10023885,41-60,52,blue-collar,divorced,primary,55,yes,no,november,11/1/2018,186,18.17,0,no product,0,0,0,7543,7,0,0,1
420,420,10023886,31-40,33,technician,married,secondary,72,yes,no,december,12/1/2018,623,31.27,0,no product,0,0,0,6895,7,0,0,1
421,421,10023887,41-60,49,management,single,tertiary,163,yes,yes,january,1/1/2018,496,45.29,0,no product,0,0,0,7632,7,0,0,1
422,422,10023888,31-40,32,management,single,tertiary,151,yes,no,february,2/1/2018,118,37.71,0,no product,0,0,0,9753,7,0,0,1
423,423,10023889,31-40,39,admin.,single,secondary,113,yes,no,march,3/1/2018,342,49.14,0,no product,0,0,0,6895,7,0,0,1
424,424,10023890,31-40,40,blue-collar,married,secondary,0,yes,no,april,4/1/2018,225,52.68,0,no product,0,0,0,7632,7,0,0,1
425,425,10023891,31-40,38,technician,single,tertiary,9,yes,no,may,5/1/2018,185,16.77,0,no product,0,0,0,9753,7,0,0,1
426,426,10023892,41-60,43,management,married,secondary,375,yes,yes,june,6/1/2018,196,188.91,0,no product,0,0,0,6530,7,0,0,1
427,427,10023893,31-40,39,services,married,secondary,1142,yes,no,july,7/1/2018,276,388.683437366575,0,no product,0,0,0,6530,7,0,0,1
428,428,10023894,41-60,54,blue-collar,married,primary,2102,yes,yes,august,8/1/2018,76,388.683437366575,0,no product,0,0,0,6530,7,0,0,1
429,429,10023895,31-40,38,technician,single,tertiary,4325,yes,no,september,9/1/2018,87,279.66,0,no product,0,0,0,6530,7,0,0,1
430,430,10023896,31-40,40,blue-collar,married,secondary,217,yes,no,october,10/1/2018,195,48.67,0,no product,0,0,0,6530,7,0,0,1
431,431,10023897,41-60,55,admin.,married,secondary,131,yes,yes,november,11/1/2018,744,135.43,0,no product,0,0,0,6530,7,0,0,1
432,432,10023898,41-60,42,management,married,tertiary,1680,yes,yes,december,12/1/2018,765,59.545,0,no product,0,0,0,6530,7,0,0,1
433,433,10023899,31-40,39,blue-collar,married,secondary,0,yes,no,january,1/1/2018,262,52.68,0,no product,0,0,0,6530,7,0,0,1
434,434,10023900,31-40,40,blue-collar,married,primary,46,yes,no,february,2/1/2018,119,35.02,0,no product,0,0,0,6530,7,0,0,1
435,435,10023901,31-40,32,blue-collar,married,secondary,320,yes,no,march,3/1/2018,198,69.86,0,no product,0,0,0,6530,7,0,0,1
436,436,10023902,41-60,55,admin.,married,secondary,183,yes,yes,april,4/1/2018,150,24.39,0,no product,0,0,0,6530,7,0,0,1
437,437,10023903,41-60,45,blue-collar,married,secondary,39,no,yes,may,5/1/2018,241,42.66,0,no product,0,0,0,6530,7,0,0,1
438,438,10023904,31-40,35,management,single,tertiary,560,yes,no,june,6/1/2018,181,147.94,0,no product,0,0,0,6530,7,0,0,1
439,439,10023905,41-60,58,technician,divorced,secondary,469,no,no,july,7/1/2018,196,143.92,0,no product,0,0,0,6530,7,0,0,1
440,440,10023906,31-40,35,admin.,married,secondary,530,yes,no,august,8/1/2018,149,51.91,0,no product,0,0,0,6530,7,0,0,1
441,441,10023907,41-60,49,services,married,primary,61,yes,yes,september,9/1/2018,246,35.07,0,no product,0,0,0,6530,7,0,0,1
442,442,10023908,31-40,34,technician,single,tertiary,242,yes,no,october,10/1/2018,112,52.94,0,no product,0,0,0,6530,7,0,0,1
443,443,10023909,31-40,36,blue-collar,married,secondary,139,yes,no,november,11/1/2018,309,52.68,0,no product,0,0,0,6530,7,0,0,1
444,444,10023910,18-30,24,self-employed,single,secondary,0,yes,no,december,12/1/2018,278,23.035,0,no product,0,0,0,6530,7,0,0,1
445,445,10023911,31-40,34,technician,married,secondary,367,yes,no,january,1/1/2018,140,83.5,0,no product,0,0,0,6530,7,0,0,1
446,446,10023912,41-60,51,admin.,divorced,secondary,228,yes,no,february,2/1/2018,136,388.683437366575,0,no product,0,0,0,6530,7,0,0,1
447,447,10023913,31-40,39,technician,single,unknown,45248,yes,no,march,3/1/2018,1623,52.94,0,no product,0,0,0,6530,7,0,0,1
448,448,10023914,41-60,50,self-employed,married,unknown,-84,yes,yes,april,4/1/2018,101,23.035,0,no product,0,0,0,6530,7,0,0,1
449,449,10023915,31-40,32,services,single,secondary,310,yes,no,may,5/1/2018,144,58.4,0,no product,0,0,0,6530,7,0,0,1
450,450,10023916,41-60,42,blue-collar,married,unknown,132,yes,yes,june,6/1/2018,238,93.63,0,no product,0,0,0,6530,7,0,0,1
451,451,10023917,41-60,50,technician,married,secondary,797,yes,yes,july,7/1/2018,354,68.67,0,no product,0,0,0,6530,7,0,0,1
452,452,10023918,31-40,40,services,married,secondary,71,no,no,august,8/1/2018,79,3.44,0,no product,0,0,0,6530,7,0,0,1
453,453,10023919,41-60,46,management,divorced,unknown,2,yes,no,september,9/1/2018,187,6.2,0,no product,0,0,0,6530,7,0,0,1
454,454,10023920,31-40,37,management,married,tertiary,231,yes,yes,october,10/1/2018,451,72.09,0,no product,0,0,0,6530,7,0,0,1
455,455,10023921,31-40,34,blue-collar,married,secondary,270,yes,no,november,11/1/2018,159,78.52,0,no product,0,0,0,6530,7,0,0,1
456,456,10023922,41-60,44,blue-collar,married,secondary,274,yes,yes,december,12/1/2018,409,52.68,0,no product,0,0,0,6530,7,0,0,1
457,457,10023923,31-40,40,admin.,single,secondary,-109,yes,no,january,1/1/2018,170,49.14,0,no product,0,0,0,6530,7,0,0,1
458,458,10023924,31-40,37,technician,married,secondary,1,yes,no,february,2/1/2018,608,52.94,0,no product,0,0,0,6530,7,0,0,1
459,459,10023925,31-40,33,blue-collar,single,secondary,-60,no,no,march,3/1/2018,243,52.68,0,no product,0,0,0,6530,7,0,0,1
460,460,10023926,31-40,35,blue-collar,married,secondary,89,yes,no,april,4/1/2018,145,52.68,0,no product,0,0,0,6530,7,0,0,1
461,461,10023927,41-60,58,blue-collar,divorced,secondary,-11,no,no,may,5/1/2018,112,52.68,0,no product,0,0,0,6530,7,0,0,1
462,462,10023928,31-40,39,blue-collar,married,primary,0,yes,no,june,6/1/2018,262,52.68,0,no product,0,0,0,6530,7,0,0,1
463,463,10023929,41-60,43,blue-collar,married,secondary,-509,yes,yes,july,7/1/2018,124,52.68,0,no product,0,0,0,6530,7,0,0,1
464,464,10023930,31-40,39,unemployed,married,primary,408,yes,no,august,8/1/2018,53,44.41,0,no product,0,0,0,6530,7,0,0,1
465,465,10023931,31-40,36,services,single,primary,58,yes,no,september,9/1/2018,134,89.03,0,no product,0,0,0,6530,7,0,0,1
466,466,10023932,41-60,57,retired,single,secondary,1640,no,no,october,10/1/2018,204,52.28,0,no product,0,0,0,6530,7,0,0,1
467,467,10023933,31-40,36,admin.,single,secondary,20,yes,no,november,11/1/2018,186,10.88,0,no product,0,0,0,6530,7,0,0,1
468,468,10023934,41-60,50,blue-collar,married,primary,71,yes,yes,december,12/1/2018,678,17.54,0,no product,0,0,0,6530,7,0,0,1
469,469,10023935,41-60,55,blue-collar,married,secondary,52,yes,yes,january,1/1/2018,182,35.57,0,no product,0,0,0,6530,7,0,0,1
470,470,10023936,41-60,44,self-employed,married,tertiary,292,yes,yes,february,2/1/2018,162,101.57,0,no product,0,0,0,6530,7,0,0,1
471,471,10023937,41-60,44,services,divorced,secondary,424,yes,no,march,3/1/2018,27,62.06,0,no product,0,0,0,6530,7,0,0,1
472,472,10023938,31-40,39,housemaid,single,primary,109,yes,no,april,4/1/2018,699,97.38,0,no product,0,0,0,6530,7,0,0,1
473,473,10023939,41-60,46,blue-collar,married,unknown,1044,yes,yes,may,5/1/2018,43,292.44,0,no product,0,0,0,6530,7,0,0,1
474,474,10023940,31-40,39,blue-collar,married,secondary,983,yes,no,june,6/1/2018,97,266.81,0,no product,0,0,0,6530,7,0,0,1
475,475,10023941,31-40,34,admin.,married,secondary,869,no,no,july,7/1/2018,1677,219.94,0,no product,0,0,0,6530,7,0,0,1
476,476,10023942,31-40,40,blue-collar,married,primary,668,yes,no,august,8/1/2018,283,231.65,0,no product,0,0,0,6530,7,0,0,1
477,477,10023943,41-60,50,management,married,tertiary,964,yes,yes,september,9/1/2018,323,155.5,0,no product,0,0,0,6530,7,0,0,1
478,478,10023944,31-40,31,management,single,secondary,301,yes,no,october,10/1/2018,82,59.26,0,no product,0,0,0,6530,7,0,0,1
479,479,10023945,31-40,37,admin.,single,secondary,140,yes,no,november,11/1/2018,310,147.98,0,no product,0,0,0,6530,7,0,0,1
480,480,10023946,31-40,39,management,single,secondary,1877,yes,no,december,12/1/2018,185,388.683437366575,0,no product,0,0,0,6530,7,0,0,1
481,481,10023947,41-60,51,blue-collar,married,primary,1127,yes,yes,january,1/1/2018,47,286.01,0,no product,0,0,0,6530,7,0,0,1
482,482,10023948,41-60,41,technician,married,secondary,871,yes,yes,february,2/1/2018,145,235.95,0,no product,0,0,0,6530,7,0,0,1
483,483,10023949,41-60,41,technician,married,secondary,767,yes,yes,march,3/1/2018,204,52.94,0,no product,0,0,0,6530,7,0,0,1
484,484,10023950,41-60,43,blue-collar,married,secondary,0,no,yes,april,4/1/2018,187,52.68,0,no product,0,0,0,6530,7,0,0,1
485,485,10023951,18-30,30,services,single,secondary,209,yes,no,may,5/1/2018,30,58.46,0,no product,0,0,0,6530,7,0,0,1
486,486,10023952,41-60,54,management,divorced,primary,0,no,no,june,6/1/2018,472,59.545,0,no product,0,0,0,6530,7,0,0,1
487,487,10023953,41-60,43,blue-collar,divorced,secondary,110,yes,no,july,7/1/2018,448,52.68,0,no product,0,0,0,6530,7,0,0,1
488,488,10023954,41-60,59,management,divorced,tertiary,-76,yes,yes,august,8/1/2018,264,59.545,0,no product,0,0,0,6530,7,0,0,1
489,489,10023955,41-60,47,technician,married,unknown,178,yes,yes,september,9/1/2018,169,52.94,0,no product,0,0,0,6530,7,0,0,1
490,490,10023956,31-40,40,blue-collar,married,primary,-66,yes,no,october,10/1/2018,288,52.68,0,no product,0,0,0,6530,7,0,0,1
491,491,10023957,31-40,32,technician,married,secondary,0,yes,no,november,11/1/2018,176,52.94,0,no product,0,0,0,6530,7,0,0,1
492,492,10023958,18-30,29,blue-collar,married,secondary,1,yes,no,december,12/1/2018,215,52.68,0,no product,0,0,0,6530,7,0,0,1
493,493,10023959,31-40,36,blue-collar,married,secondary,0,yes,no,january,1/1/2018,337,52.68,0,no product,0,0,0,6530,7,0,0,1
494,494,10023960,41-60,55,unemployed,married,tertiary,5345,no,yes,february,2/1/2018,278,25.25,0,no product,0,0,0,6530,7,0,0,1
495,495,10023961,18-30,30,blue-collar,divorced,secondary,-209,yes,no,march,3/1/2018,188,52.68,0,no product,0,0,0,6530,7,0,0,1
496,496,10023962,31-40,39,admin.,single,secondary,0,yes,no,april,4/1/2018,174,49.14,0,no product,0,0,0,6530,7,0,0,1
497,497,10023963,31-40,39,blue-collar,divorced,secondary,42,yes,no,may,5/1/2018,226,11.98,0,no product,0,0,0,6530,7,0,0,1
498,498,10023964,41-60,50,blue-collar,divorced,secondary,41,yes,no,june,6/1/2018,190,52.68,0,no product,0,0,0,6530,7,0,0,1
499,499,10023965,41-60,44,blue-collar,married,secondary,-99,yes,yes,july,7/1/2018,111,52.68,0,no product,0,0,0,6530,7,0,0,1
500,500,10023966,31-40,37,technician,single,secondary,17,yes,no,august,8/1/2018,164,19.77,0,no product,0,0,0,6530,7,0,0,1
501,501,10023967,41-60,46,admin.,married,primary,276,yes,yes,september,9/1/2018,157,49.14,0,no product,0,0,0,6530,7,0,0,1
502,502,10023968,31-40,32,technician,single,unknown,-170,no,no,october,10/1/2018,46,52.94,0,no product,0,0,0,6530,7,0,0,1
503,503,10023969,31-40,37,management,single,tertiary,230,yes,no,november,11/1/2018,374,13.13,0,no product,0,0,0,6530,7,0,0,1
504,504,10023970,18-30,29,blue-collar,married,secondary,9,yes,no,december,12/1/2018,349,26.64,0,no product,0,0,0,6530,7,0,0,1
505,505,10023971,41-60,41,blue-collar,married,secondary,946,yes,yes,january,1/1/2018,325,319.76,0,no product,0,0,0,6530,7,0,0,1
506,506,10023972,41-60,45,blue-collar,married,primary,1297,yes,yes,february,2/1/2018,233,52.68,0,no product,0,0,0,6530,7,0,0,1
507,507,10023973,41-60,57,retired,divorced,secondary,-331,yes,no,march,3/1/2018,531,57.32,0,no product,0,0,0,6530,7,0,0,1
508,508,10023974,41-60,48,blue-collar,single,secondary,44,yes,no,april,4/1/2018,153,7.42,0,no product,0,0,0,6530,7,0,0,1
509,509,10023975,41-60,60,retired,married,secondary,15,no,yes,may,5/1/2018,80,29.83,0,no product,0,0,0,6530,7,0,0,1
510,510,10023976,18-30,26,admin.,single,secondary,712,yes,no,june,6/1/2018,232,388.683437366575,0,no product,0,0,0,6530,7,0,0,1
511,511,10023977,41-60,58,retired,married,secondary,5435,yes,yes,july,7/1/2018,118,388.683437366575,0,no product,0,0,0,6530,7,0,0,1
512,512,10023978,31-40,34,admin.,married,secondary,507,yes,no,august,8/1/2018,190,127.87,0,no product,0,0,0,6530,7,0,0,1
513,513,10023979,41-60,55,unemployed,divorced,secondary,387,yes,no,september,9/1/2018,918,25.25,0,no product,0,0,0,6530,7,0,0,1
514,514,10023980,41-60,41,blue-collar,married,primary,0,yes,yes,october,10/1/2018,238,52.68,0,no product,0,0,0,6530,7,0,0,1
515,515,10023981,41-60,50,management,divorced,secondary,1716,yes,no,november,11/1/2018,82,154.53,0,no product,0,0,0,6530,7,0,0,1
516,516,10023982,41-60,49,entrepreneur,married,secondary,167,yes,yes,december,12/1/2018,198,23.59,0,no product,0,0,0,6530,7,0,0,1
517,517,10023983,41-60,44,admin.,married,unknown,40,no,yes,january,1/1/2018,160,22.21,0,no product,0,0,0,6530,7,0,0,1
518,518,10023984,41-60,44,blue-collar,married,primary,148,yes,yes,february,2/1/2018,211,14.48,0,no product,0,0,0,6530,7,0,0,1
519,519,10023985,31-40,31,technician,married,secondary,17,yes,no,march,3/1/2018,120,37.85,0,no product,0,0,0,6530,7,0,0,1
520,520,10023986,31-40,34,blue-collar,single,tertiary,1011,yes,no,april,4/1/2018,136,358.68,0,no product,0,0,0,6530,7,0,0,1
521,521,10023987,41-60,46,management,single,unknown,1527,yes,no,may,5/1/2018,269,307.69,0,no product,0,0,0,6530,7,0,0,1
522,522,10023988,41-60,42,management,married,tertiary,744,no,yes,june,6/1/2018,157,173.23,0,no product,0,0,0,6530,7,0,0,1
523,523,10023989,41-60,52,admin.,married,secondary,484,yes,yes,july,7/1/2018,128,49.14,0,no product,0,0,0,6530,7,0,0,1
524,524,10023990,18-30,29,management,single,tertiary,0,yes,no,august,8/1/2018,211,59.545,0,no product,0,0,0,6530,7,0,0,1
525,525,10023991,41-60,53,retired,married,primary,136,yes,yes,september,9/1/2018,267,123,0,no product,0,0,0,6530,7,0,0,1
526,526,10023992,41-60,43,blue-collar,married,secondary,1335,yes,yes,october,10/1/2018,371,239.83,0,no product,0,0,0,6530,7,0,0,1
527,527,10023993,31-40,38,management,married,secondary,517,yes,no,november,11/1/2018,288,140.62,0,no product,0,0,0,6530,7,0,0,1
528,528,10023994,41-60,46,management,married,tertiary,459,yes,yes,december,12/1/2018,221,144.91,0,no product,0,0,0,6530,7,0,0,1
529,529,10023995,41-60,48,management,divorced,unknown,549,yes,no,january,1/1/2018,427,61.62,0,no product,0,0,0,6530,7,0,0,1
530,530,10023996,18-30,30,admin.,divorced,secondary,83,yes,no,february,2/1/2018,310,38.38,0,no product,0,0,0,6530,7,0,0,1
531,531,10023997,41-60,44,blue-collar,married,primary,213,no,yes,march,3/1/2018,158,60.03,0,no product,0,0,0,6530,7,0,0,1
532,532,10023998,31-40,31,housemaid,married,primary,203,yes,no,april,4/1/2018,604,93.61,0,no product,0,0,0,6530,7,0,0,1
533,533,10023999,41-60,42,services,single,secondary,518,yes,no,may,5/1/2018,198,388.683437366575,0,no product,0,0,0,6530,7,0,0,1
534,534,10024000,31-40,40,management,single,tertiary,3877,yes,no,june,6/1/2018,145,388.683437366575,0,no product,0,0,0,6530,7,0,0,1
535,535,10024001,41-60,52,admin.,married,secondary,1236,yes,yes,july,7/1/2018,247,279.05,0,no product,0,0,0,6530,7,0,0,1
536,536,10024002,41-60,45,blue-collar,divorced,secondary,756,yes,no,august,8/1/2018,179,99.45,0,no product,0,0,0,6530,7,0,0,1
537,537,10024003,41-60,48,blue-collar,married,secondary,157,yes,yes,september,9/1/2018,73,52.68,0,no product,0,0,0,6530,7,0,0,1
538,538,10024004,41-60,45,blue-collar,married,primary,-66,yes,yes,october,10/1/2018,263,52.68,0,no product,0,0,0,6530,7,0,0,1
539,539,10024005,31-40,34,blue-collar,married,unknown,245,yes,no,november,11/1/2018,13,52.68,1,mortgage,1,1,1,4853,10,1,1,1
540,540,10024006,31-40,34,blue-collar,married,primary,-144,yes,no,december,12/1/2018,79,52.68,1,mortgage,1,1,1,8675,10,1,1,1
541,541,10024007,41-60,46,blue-collar,married,secondary,71,yes,yes,january,1/1/2018,416,54.66,1,mortgage,1,1,1,9764,10,1,1,1
542,542,10024008,41-60,49,services,divorced,secondary,505,yes,no,february,2/1/2018,162,102.37,1,mortgage,1,1,1,2457,10,1,1,1
543,543,10024009,41-60,50,technician,married,primary,249,yes,yes,march,3/1/2018,129,52.94,1,mortgage,1,1,1,3678,10,1,1,1
544,544,10024010,31-40,34,admin.,single,secondary,0,yes,no,april,4/1/2018,150,49.14,1,mortgage,1,1,1,9765,10,1,1,1
545,545,10024011,31-40,40,unemployed,single,secondary,11,yes,no,may,5/1/2018,43,24.2,1,mortgage,1,1,1,7543,10,1,1,1
546,546,10024012,31-40,36,admin.,married,secondary,639,yes,no,june,6/1/2018,191,81.26,1,unsecured ,1,1,1,6689,10,1,1,1
547,547,10024013,41-60,59,blue-collar,divorced,unknown,124,yes,no,july,7/1/2018,26,29.11,1,unsecured ,1,1,1,4376,10,1,1,1
548,548,10024014,41-60,45,blue-collar,married,secondary,82,yes,yes,august,8/1/2018,250,27.04,1,unsecured ,1,1,1,6895,10,1,1,1
549,549,10024015,31-40,36,self-employed,married,tertiary,107,yes,yes,september,9/1/2018,146,64.94,1,unsecured ,1,1,1,7632,10,1,1,1
550,550,10024016,41-60,56,services,married,secondary,473,yes,yes,october,10/1/2018,416,121.09,1,unsecured ,1,1,1,9753,9,1,1,1
551,551,10024017,41-60,42,services,divorced,secondary,372,yes,no,november,11/1/2018,121,37.76,1,unsecured ,1,1,1,2257,9,1,1,1
552,552,10024018,18-30,30,admin.,married,secondary,46,yes,no,december,12/1/2018,114,11.42,1,unsecured ,1,1,1,6895,9,1,1,1
553,553,10024019,18-30,30,student,single,tertiary,34,yes,no,january,1/1/2018,289,51.47,1,unsecured ,1,1,1,6895,9,1,1,1
554,554,10024020,41-60,47,self-employed,married,unknown,935,yes,yes,february,2/1/2018,225,23.035,1,unsecured ,1,1,1,7632,9,1,1,1
555,555,10024021,31-40,33,blue-collar,married,secondary,-10,yes,no,march,3/1/2018,123,52.68,1,unsecured ,1,1,1,6895,9,1,1,1
556,556,10024022,31-40,36,admin.,married,secondary,-106,yes,no,april,4/1/2018,130,49.14,1,unsecured ,1,1,1,7632,9,1,1,1
557,557,10024023,31-40,39,services,divorced,primary,471,yes,no,may,5/1/2018,161,174.75,1,unsecured ,1,1,1,9753,9,1,1,1
558,558,10024024,41-60,56,admin.,divorced,secondary,778,yes,no,june,6/1/2018,149,104.98,1,unsecured ,1,1,1,8675,9,1,1,1
559,559,10024025,31-40,39,blue-collar,divorced,unknown,170,yes,no,july,7/1/2018,268,66.8,1,unsecured ,1,1,1,9764,9,1,1,1
560,560,10024026,41-60,42,technician,married,secondary,315,yes,yes,august,8/1/2018,259,288.24,1,mortgage,1,1,1,2457,9,1,1,1
561,561,10024027,41-60,52,blue-collar,married,secondary,3165,no,yes,september,9/1/2018,26,185.88,1,mortgage,1,1,1,3678,9,1,1,1
562,562,10024028,31-40,36,admin.,divorced,secondary,131,yes,no,october,10/1/2018,153,47.19,1,mortgage,1,1,1,9765,9,1,1,1
563,563,10024029,31-40,35,entrepreneur,married,secondary,204,yes,no,november,11/1/2018,424,37.56,1,mortgage,1,1,1,6895,9,1,1,1
564,564,10024030,41-60,47,technician,married,secondary,83,yes,yes,december,12/1/2018,179,52.94,1,mortgage,1,1,1,7632,9,1,1,1
565,565,10024031,41-60,59,services,divorced,secondary,0,yes,no,january,1/1/2018,97,58.46,1,mortgage,1,1,1,9753,9,1,1,1
566,566,10024032,41-60,57,blue-collar,married,primary,5431,yes,yes,february,2/1/2018,383,388.683437366575,1,mortgage,1,1,1,2257,9,1,1,1
567,567,10024033,31-40,38,management,married,unknown,1759,yes,no,march,3/1/2018,440,59.545,1,mortgage,1,1,1,12353,9,1,1,1
568,568,10024034,41-60,46,unemployed,married,secondary,-125,yes,yes,april,4/1/2018,23,25.25,1,mortgage,1,1,1,6895,9,1,1,1
569,569,10024035,31-40,34,blue-collar,married,secondary,0,no,no,may,5/1/2018,195,52.68,1,mortgage,1,1,1,7632,9,1,1,1
570,570,10024036,18-30,28,services,single,secondary,5090,yes,no,june,6/1/2018,1297,388.683437366575,1,mortgage,1,1,1,9753,9,1,1,1
571,571,10024037,31-40,38,technician,married,unknown,573,yes,no,july,7/1/2018,87,276.58,1,mortgage,1,1,1,2257,9,1,1,1
572,572,10024038,41-60,56,blue-collar,married,secondary,1602,yes,yes,august,8/1/2018,427,52.68,1,mortgage,1,1,1,12353,9,1,1,1
573,573,10024039,41-60,41,blue-collar,single,primary,-137,yes,no,september,9/1/2018,189,52.68,1,mortgage,1,1,1,2356,9,1,1,1
574,574,10024040,41-60,52,technician,married,unknown,0,no,yes,october,10/1/2018,195,52.94,1,auto ,1,1,1,7654,9,1,1,1
575,575,10024041,41-60,54,services,married,secondary,193,no,yes,november,11/1/2018,179,56,1,auto ,1,1,1,7854,9,1,1,1
576,576,10024042,over 60,61,retired,married,secondary,195,yes,yes,december,12/1/2018,179,68.41,1,auto ,1,1,1,6895,9,1,1,1
577,577,10024043,41-60,53,entrepreneur,married,secondary,288,no,yes,january,1/1/2018,69,21.35,1,auto ,1,1,1,7632,9,1,1,1
578,578,10024044,41-60,47,technician,married,secondary,19,yes,yes,february,2/1/2018,105,6.29,1,auto ,1,1,1,9753,9,1,1,1
579,579,10024045,41-60,53,blue-collar,married,primary,25,yes,yes,march,3/1/2018,266,21.21,1,auto ,1,1,1,2257,9,1,1,1
580,580,10024046,41-60,46,services,married,secondary,216,yes,yes,april,4/1/2018,524,58.48,1,auto ,1,1,1,12353,9,1,1,1
581,581,10024047,31-40,39,blue-collar,divorced,primary,190,yes,no,may,5/1/2018,96,39.59,1,auto ,1,1,1,2356,9,1,1,1
582,582,10024048,41-60,56,technician,divorced,secondary,99,yes,no,june,6/1/2018,155,137.69,1,auto ,1,1,1,7654,9,1,1,1
583,583,10024049,41-60,55,services,divorced,primary,2298,yes,no,july,7/1/2018,162,57.06,1,auto ,1,1,1,7854,9,1,1,1
584,584,10024050,41-60,44,management,married,tertiary,17,yes,yes,august,8/1/2018,352,59.545,1,auto ,1,1,1,8954,9,1,1,1
585,585,10024051,31-40,37,technician,married,primary,0,yes,no,september,9/1/2018,76,52.94,1,auto ,1,1,1,3678,9,1,1,1
586,586,10024052,31-40,35,blue-collar,married,primary,0,yes,no,october,10/1/2018,154,52.68,1,auto ,1,1,1,4853,9,1,1,1
587,587,10024053,41-60,55,blue-collar,married,secondary,840,yes,yes,november,11/1/2018,310,158.3,1,auto ,1,1,1,8675,9,1,1,1
588,588,10024054,31-40,37,services,married,secondary,358,yes,no,december,12/1/2018,390,58.46,1,auto ,1,1,1,9764,9,1,1,1
